problem,policy,solve_time,value,date,time
tiger,mmdp,60.0,199.99991275534944,2024-10-09,14:29:08.828
tiger,mpomdp,60.0,59.81685,2024-10-09,14:29:08.828
tiger,pomdp_1,60.0,34.4734,2024-10-09,14:29:08.828
tiger,pomdp_2,60.0,34.4734,2024-10-09,14:29:08.828
tiger_3,mmdp,60.0,299.99991413817725,2024-10-09,14:29:11.618
tiger_3,mpomdp,60.0,108.091,2024-10-09,14:29:11.618
tiger_3,pomdp_1,60.0,81.31524999999999,2024-10-09,14:29:11.618
tiger_3,pomdp_2,60.0,81.31524999999999,2024-10-09,14:29:11.618
tiger_3,pomdp_3,60.0,81.31524999999999,2024-10-09,14:29:11.618
tiger_4,mmdp,60.0,399.99991654230826,2024-10-09,14:29:15.087
tiger_4,mpomdp,60.0,153.336,2024-10-09,14:29:15.087
tiger_4,pomdp_1,60.0,122.2365,2024-10-09,14:29:15.087
tiger_4,pomdp_2,60.0,122.2365,2024-10-09,14:29:15.087
tiger_4,pomdp_3,60.0,122.2365,2024-10-09,14:29:15.087
tiger_4,pomdp_4,60.0,122.2365,2024-10-09,14:29:15.087
broadcast,mmdp,120.0,9.432015094134757,2024-10-09,14:29:17.072
broadcast,mpomdp,120.0,9.43118,2024-10-09,14:29:17.072
broadcast,pomdp_1,120.0,9.43127,2024-10-09,14:29:17.072
broadcast,pomdp_2,120.0,9.25978,2024-10-09,14:29:17.072
broadcast_wp,mmdp,120.0,7.5455955191490816,2024-10-09,14:29:19.919
broadcast_wp,mpomdp,120.0,7.54471,2024-10-09,14:29:19.919
broadcast_wp,pomdp_1,120.0,7.45985,2024-10-09,14:29:19.919
broadcast_wp,pomdp_2,120.0,7.25964,2024-10-09,14:29:19.919
broadcast_3,mmdp,120.0,9.099958224079288,2024-10-09,14:29:39.667
broadcast_3,mpomdp,120.0,9.09905,2024-10-09,14:29:39.667
broadcast_3,pomdp_1,120.0,8.94671,2024-10-09,14:29:39.667
broadcast_3,pomdp_2,120.0,8.53881,2024-10-09,14:29:39.667
broadcast_3,pomdp_3,120.0,8.53881,2024-10-09,14:29:39.667
broadcast_dp_wp_3,mmdp,120.0,6.7068403135625765,2024-10-09,14:29:43.439
broadcast_dp_wp_3,mpomdp,120.0,6.70607,2024-10-09,14:29:43.439
broadcast_dp_wp_3,pomdp_1,120.0,5.59244,2024-10-09,14:29:43.439
broadcast_dp_wp_3,pomdp_2,120.0,5.90369,2024-10-09,14:29:43.439
broadcast_dp_wp_3,pomdp_3,120.0,5.90369,2024-10-09,14:29:43.439
box_push,mmdp,120.0,240.09124230180592,2024-10-09,14:33:38.432
box_push,mpomdp,120.0,225.612,2024-10-09,14:33:38.432
box_push,pomdp_1,120.0,202.012,2024-10-09,14:33:38.432
box_push,pomdp_2,120.0,202.012,2024-10-09,14:33:38.432
box_push_so,mmdp,120.0,240.09124230180592,2024-10-09,14:40:10.195
box_push_so,mpomdp,120.0,205.676,2024-10-09,14:40:10.195
box_push_so,pomdp_1,120.0,178.663,2024-10-09,14:40:10.195
box_push_so,pomdp_2,120.0,178.663,2024-10-09,14:40:10.195
joint_meet_2x2,mmdp,120.0,8.014289149800726,2024-10-09,14:57:00.7
joint_meet_2x2,mpomdp,120.0,6.41626,2024-10-09,14:57:00.7
